index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
426,011111011101,0.00058,34.0,False,True,False,True,False,True,True
427,001110010011,0.00058,24.0,False,True,False,True,False,True,True
428,011100101011,0.00058,25.0,False,False,True,False,True,True,True
429,110110010111,0.00058,28.0,False,False,True,False,False,True,True
430,100101000110,0.00058,10.0,False,True,True,False,True,True,True
431,010010111111,0.00057,29.0,True,True,True,True,True,True,True
432,111001111111,0.00057,37.0,False,True,False,False,True,True,True
433,001100110111,0.00057,26.0,False,False,False,False,False,True,True
434,000101000010,0.00057,6.0,False,False,True,False,True,True,True
435,001110100100,0.00057,24.0,False,True,False,False,True,True,True
436,000100010111,0.00057,11.0,False,False,False,False,False,True,True
437,101110100000,0.00057,28.0,False,False,False,False,True,True,True
438,000100110111,0.00057,19.0,False,False,False,True,False,True,True
439,100111100111,0.00057,24.0,False,False,True,True,True,True,True
440,100101100001,0.00057,18.0,True,True,True,True,True,True,True
441,101001001001,0.00057,14.0,False,True,True,True,False,True,True
442,101111001011,0.00056,23.0,False,False,True,True,True,True,True
443,011101001111,0.00056,20.0,False,False,False,True,True,True,True
444,100101110100,0.00056,26.0,False,True,True,True,False,True,True
445,010000111110,0.00056,23.0,False,False,True,True,True,True,True
446,101011010111,0.00056,28.0,False,False,True,True,True,True,True
447,010001011101,0.00056,18.0,False,False,False,False,True,True,True
448,001100100100,0.00056,18.0,False,False,False,False,True,True,True
449,000010000011,0.00056,6.0,False,True,False,False,False,True,True
450,011010000101,0.00056,20.0,False,True,True,True,False,True,True
451,001100100110,0.00055,18.0,False,False,False,False,True,True,True
452,110110001000,0.00055,20.0,False,False,True,False,True,True,True
453,100001111101,0.00055,23.0,True,True,True,True,True,True,True
